,firsts,lasts,lifespans,mentions
ܐܘܒܐ,500.0,500.0,0.0,2
ܐܘܒܘܐܐ,724.0,724.0,0.0,1
ܐܘܒܘܠܘܢ,950.0,950.0,0.0,2
ܐܘܒܠܘ,325.0,1907.0,1582.0,290
ܐܘܓܝܢ,500.0,2006.0,1506.0,374
ܐܘܓܢܝܐ,500.0,950.0,450.0,108
ܐܘܓܪܘܩܘܠܠܘܪܝܐ,950.0,950.0,0.0,1
ܐܘܓܪܝܣ,430.0,2006.0,1576.0,308
ܐܘܕܐܣܝܣ,950.0,950.0,0.0,1
ܐܘܕܗܛܗܪܐ,950.0,950.0,0.0,1
ܐܘܕܘܝܛܝܐ,950.0,950.0,0.0,1
ܐܘܕܘܣ,519.0,1234.0,715.0,22
ܐܘܕܘܪ,575.0,1234.0,659.0,13
ܐܘܕܝܘܢ,675.0,950.0,275.0,2
ܐܘܕܝܘܣ,950.0,1150.0,200.0,3
ܐܘܕܝܡܐ,950.0,950.0,0.0,3
ܐܘܕܝܢܗܣ,950.0,950.0,0.0,1
ܐܘܕܝܣ,775.0,1994.0,1219.0,4
ܐܘܕܝܦܘܣ,950.0,950.0,0.0,1
ܐܘܕܢܐ,575.0,1250.0,675.0,14
ܐܘܕܣ,550.0,1234.0,684.0,22
ܐܘܕܪܐ,846.0,950.0,104.0,2
ܐܘܕܪܘܓܐܪܘܢ,950.0,950.0,0.0,1
ܐܘܕܪܘܡܗܠܘܢ,950.0,950.0,0.0,1
ܐܘܕܪܘܦܝܩܝܪܝ,950.0,950.0,0.0,1
ܐܘܕܪܝܠܘܢ,950.0,950.0,0.0,1
ܐܘܕܪܝܢܘܣ,525.0,525.0,0.0,2
ܐܘܗ,350.0,1907.0,1557.0,42
ܐܘܘܢ,350.0,1250.0,900.0,226
ܐܘܙܠܝܣ,775.0,775.0,0.0,2
ܐܘܙܡܢ,2006.0,2006.0,0.0,3
ܐܘܛܘܒܪܘܕܝܘܣ,950.0,950.0,0.0,1
ܐܘܛܘܟ,500.0,1250.0,750.0,61
ܐܘܛܘܟܘܣ,675.0,1150.0,475.0,4
ܐܘܛܘܠܡܘܣ,675.0,675.0,0.0,1
ܐܘܛܘܡܐܛܘܢ,375.0,1250.0,875.0,7
ܐܘܛܘܡܘܠܘܓܝܐ,950.0,950.0,0.0,2
ܐܘܛܘܣܝܣ,950.0,950.0,0.0,1
ܐܘܛܘܦܗܟܕܝܘܣ,950.0,950.0,0.0,1
ܐܘܛܘܦܣܛܝܢܐ,950.0,950.0,0.0,1
ܐܘܛܘܩܦܠܘܣ,775.0,775.0,0.0,1
ܐܘܛܝܣ,675.0,950.0,275.0,2
ܐܘܛܟܣܝܐ,575.0,575.0,0.0,2
ܐܘܛܩܪܛܘܪ,425.0,1693.0,1268.0,32
ܐܘܝ,325.0,1907.0,1582.0,176
ܐܘܝܠܐ,525.0,525.0,0.0,2
ܐܘܝܢܘܣ,950.0,950.0,0.0,1
ܐܘܟܐܝܛܐ,575.0,950.0,375.0,4
ܐܘܟܝܠܘܣ,950.0,950.0,0.0,2
ܐܘܟܣܐܠܡܝ,950.0,950.0,0.0,1
ܐܘܟܣܘܓܪܐܦܘܣ,950.0,950.0,0.0,1
ܐܘܟܣܘܝܓܝܘܢ,950.0,950.0,0.0,1
ܐܘܟܣܘܣ,775.0,775.0,0.0,1
ܐܘܟܣܝܐ,550.0,550.0,0.0,1
ܐܘܟܣܝܘܣ,700.0,700.0,0.0,1
ܐܘܟܣܝܢܘܣ,450.0,450.0,0.0,1
ܐܘܟܣܝܣ,950.0,950.0,0.0,2
ܐܘܟܣܝܪܝܣ,950.0,950.0,0.0,1
ܐܘܟܪܐ,950.0,950.0,0.0,2
ܐܘܟܪܝܣܛܝܐ,350.0,1050.0,700.0,33
ܐܘܟܪܣܛܝܐ,500.0,1250.0,750.0,56
ܐܘܠܗܘܡܦܘܣ,350.0,350.0,0.0,2
ܐܘܠܘ,500.0,950.0,450.0,21
ܐܘܠܘܓܘ,675.0,1250.0,575.0,18
ܐܘܠܘܢܐ,675.0,950.0,275.0,10
ܐܘܠܘܢܝܐ,950.0,950.0,0.0,1
ܐܘܠܘܣ,600.0,600.0,0.0,2
ܐܘܠܘܦܝܛܘܢ,950.0,950.0,0.0,1
ܐܘܠܘܪܐ,950.0,950.0,0.0,1
ܐܘܠܝ,675.0,950.0,275.0,4
ܐܘܠܝܘ,950.0,950.0,0.0,1
ܐܘܠܝܛܪܝܕܘܣ,950.0,950.0,0.0,1
ܐܘܠܝܡܦܘܣ,950.0,950.0,0.0,1
ܐܘܠܠܘܡܦܝܐ,950.0,950.0,0.0,1
ܐܘܠܣܬܝܡܐ,950.0,950.0,0.0,1
ܐܘܡܐ,450.0,1234.0,784.0,89
ܐܘܡܒܪܘܣ,950.0,950.0,0.0,1
ܐܘܡܘܕܪܐܣܝܣ,950.0,950.0,0.0,1
ܐܘܡܘܕܪܝܐܣܝܣ,950.0,950.0,0.0,1
ܐܘܡܘܛܐܕܝܟܘܣ,950.0,950.0,0.0,1
ܐܘܡܘܝܘܦܐܬܝܣ,950.0,950.0,0.0,1
ܐܘܡܘܠܘܢ,950.0,950.0,0.0,1
ܐܘܡܘܢܘܡܝܐ,850.0,850.0,0.0,1
ܐܘܡܘܪܘܣܝܣ,950.0,950.0,0.0,1
ܐܘܡܛܝܐ,950.0,950.0,0.0,1
ܐܘܡܠܝܓܝܐ,950.0,950.0,0.0,1
ܐܘܡܪܘܣ,375.0,625.0,250.0,4
ܐܘܢ,675.0,950.0,275.0,2
ܐܘܢܓܠܝܘܢ,325.0,2007.0,1682.0,2591
ܐܘܢܓܠܝܘܢܐ,1234.0,1234.0,0.0,2
ܐܘܢܓܠܝܣܛܐ,350.0,1950.0,1600.0,411
ܐܘܢܘ,475.0,1250.0,775.0,69
ܐܘܢܘܟܗܣ,950.0,950.0,0.0,1
ܐܘܢܘܟܘܣ,950.0,950.0,0.0,1
ܐܘܢܘܟܣܐ,525.0,1250.0,725.0,18
ܐܘܢܘܡܐ,950.0,950.0,0.0,1
ܐܘܢܘܣ,675.0,950.0,275.0,54
ܐܘܢܘܣܝܡܐ,950.0,950.0,0.0,1
ܐܘܢܘܪܝܣܡܐ,950.0,950.0,0.0,1
ܐܘܢܝܐ,550.0,950.0,400.0,3
ܐܘܢܟܣܐ,525.0,1025.0,500.0,26
ܐܘܢܢܬܝܛܝܣ,950.0,950.0,0.0,1
ܐܘܢܪܝܢ,950.0,950.0,0.0,1
ܐܘܣ,400.0,1375.0,975.0,106
ܐܘܣܐ,500.0,950.0,450.0,50
ܐܘܣܒܝܘܣ,500.0,1250.0,750.0,173
ܐܘܣܛܘܢ,950.0,950.0,0.0,1
ܐܘܣܛܪܐܩܘܢ,950.0,950.0,0.0,1
ܐܘܣܝܐ,350.0,1994.0,1644.0,4969
ܐܘܣܝܐܝܬ,519.0,1150.0,631.0,47
ܐܘܣܝܘܣ,500.0,1693.0,1193.0,9
ܐܘܣܝܝܐ,519.0,1300.0,781.0,58
ܐܘܣܝܝܐܝܬ,525.0,550.0,25.0,5
ܐܘܦܐܛܝܣܐ,825.0,825.0,0.0,1
ܐܘܦܐܣܦܓܡܐ,950.0,950.0,0.0,1
ܐܘܦܐܦܐܐ,950.0,950.0,0.0,1
ܐܘܦܐܩܝܢܘܢ,950.0,950.0,0.0,1
ܐܘܦܓܐܣܛܪܝܘ,950.0,950.0,0.0,2
ܐܘܦܓܪܦܐ,950.0,950.0,0.0,1
ܐܘܦܗܘܦܛܘܢ,675.0,950.0,275.0,2
ܐܘܦܗܘܦܪܟܘܢ,675.0,950.0,275.0,4
ܐܘܦܗܠܝܐ,950.0,950.0,0.0,1
ܐܘܦܗܦܛܘܢ,675.0,950.0,275.0,2
ܐܘܦܘܕܘܛܝܣ,950.0,950.0,0.0,1
ܐܘܦܘܟܘܡܐ,950.0,950.0,0.0,1
ܐܘܦܘܠܘܡܘܪܦܘܣ,950.0,950.0,0.0,2
ܐܘܦܘܠܘܣܝܣ,950.0,950.0,0.0,1
ܐܘܦܘܠܝܛܘܣ,950.0,950.0,0.0,1
ܐܘܦܘܡܢܝܡܐܛܐ,950.0,950.0,0.0,1
ܐܘܦܘܢܘܡܐ,950.0,950.0,0.0,1
ܐܘܦܘܣܘܪܡܐܛܐ,950.0,950.0,0.0,1
ܐܘܦܘܣܡܗ,950.0,950.0,0.0,1
ܐܘܦܘܣܩܘܪܕܝܘܢ,950.0,950.0,0.0,1
ܐܘܦܘܦܝܐ,950.0,950.0,0.0,1
