,Column1,lexeme,syriac,glosses,etymologies,root,words,category,kaylo,origin_lang,origin_lang_word
2326,2263,"{'id': 2510, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2510.json'}",ܦܝܪܡܐ,"{'Arabic': ['مبخرة'], 'French': ['encensoir'], 'English': ['censer', 'thurible', 'censer', 'incense.']}",{'Greek': ['πύρωμα']},"{'id': 1491, 'uri': 'https://sedra.bethmardutho.org/api/root/1491.json'}","[{'id': 16386, 'uri': 'https://sedra.bethmardutho.org/api/word/16386.json'}, {'id': 16387, 'uri': 'https://sedra.bethmardutho.org/api/word/16387.json'}]",noun,,Greek,πύρωμα
2327,29608,"{'id': 32472, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32472.json'}",ܦܝܬܐܘܣ,{'English': ['the Pythian']},{'Greek': ['Πύθιος']},,"[{'id': 58846, 'uri': 'https://sedra.bethmardutho.org/api/word/58846.json'}]",noun,,Greek,Πύθιος
2328,29649,"{'id': 32513, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32513.json'}",ܦܟܣܘܡܐ,{'English': ['a hard biscuit']},{'Greek': ['παξαμᾶς']},,"[{'id': 58887, 'uri': 'https://sedra.bethmardutho.org/api/word/58887.json'}]",noun,,Greek,παξαμᾶς
2329,29650,"{'id': 32514, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32514.json'}",ܦܟܣܘܡܛܝܐ,{'English': ['a little biscuit']},{'Greek': ['παξαμᾶς']},,"[{'id': 58888, 'uri': 'https://sedra.bethmardutho.org/api/word/58888.json'}]",noun,,Greek,παξαμᾶς
2330,29652,"{'id': 32516, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32516.json'}",ܦܠܐܒܝܐܕܐ,{'English': ['Flavias']},{'Greek': ['Flavias']},,"[{'id': 58890, 'uri': 'https://sedra.bethmardutho.org/api/word/58890.json'}]",noun,,Greek,Flavias
2331,29653,"{'id': 32517, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32517.json'}",ܦܠܐܢܓܝܐ,{'English': ['spider']},{'Greek': ['φαλάγγιον']},,"[{'id': 58891, 'uri': 'https://sedra.bethmardutho.org/api/word/58891.json'}]",noun,,Greek,φαλάγγιον
2332,3767,"{'id': 4749, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/4749.json'}",ܦܠܐܩܣ,[],{'Greek': ['πλακόω']},,,noun,,Greek,πλακόω
2333,29655,"{'id': 32519, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32519.json'}",ܦܠܒܘܣ,{'English': ['vein']},{'Greek': ['φλέψ']},,"[{'id': 58893, 'uri': 'https://sedra.bethmardutho.org/api/word/58893.json'}]",noun,,Greek,φλέψ
2334,11200,"{'id': 12320, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/12320.json'}",ܦܠܓܐ,"{'Arabic': ['دف', 'كتيبة, فرقة', 'حرس'], 'French': ['tambourin', 'phalange, troupe', 'escorte'], 'English': ['tambourine', 'phalanx.']}",{'Greek': ['φάλαγξ']},,"[{'id': 30920, 'uri': 'https://sedra.bethmardutho.org/api/word/30920.json'}]",noun,,Greek,φάλαγξ
2335,29659,"{'id': 32524, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32524.json'}",ܦܠܗܓܡܘܢܝ,{'English': ['inflammation']},{'Greek': ['φλεγμονή']},,"[{'id': 58898, 'uri': 'https://sedra.bethmardutho.org/api/word/58898.json'}]",noun,,Greek,φλεγμονή
2336,29662,"{'id': 32527, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32527.json'}",ܦܠܘܐܪܝܐܣ,{'English': ['nonsense']},{'Greek': ['φλυαρία']},,"[{'id': 58901, 'uri': 'https://sedra.bethmardutho.org/api/word/58901.json'}]",noun,,Greek,φλυαρία
2337,29671,"{'id': 32536, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32536.json'}",ܦܠܘܦܐܣ,{'English': ['Pelops']},{'Greek': ['Πέλοψ']},,"[{'id': 58910, 'uri': 'https://sedra.bethmardutho.org/api/word/58910.json'}]",noun,,Greek,Πέλοψ
2338,29674,"{'id': 32539, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32539.json'}",ܦܠܛܘܣ,{'Greek': ['πλατος']},{'Greek': ['πλάτος']},,"[{'id': 58913, 'uri': 'https://sedra.bethmardutho.org/api/word/58913.json'}]",noun,,Greek,πλάτος
2340,29676,"{'id': 32541, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32541.json'}",ܦܠܛܡܐܟܘܣ,{'English': ['magistrate']},{'Greek': ['πολιτεύω']},,"[{'id': 58915, 'uri': 'https://sedra.bethmardutho.org/api/word/58915.json'}]",noun,,Greek,πολιτεύω
2341,29678,"{'id': 32543, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32543.json'}",ܦܠܛܢܝܣ,{'English': ['Plataeae']},{'Greek': ['Πλάταια']},,"[{'id': 58917, 'uri': 'https://sedra.bethmardutho.org/api/word/58917.json'}]",noun,,Greek,Πλάταια
2342,6564,"{'id': 7659, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/7659.json'}",ܦܠܣܘܢ,"{'Arabic': ['كاذب'], 'French': ['faux'], 'English': ['forgery, forged.']}",{'Greek': ['falsus']},,"[{'id': 33573, 'uri': 'https://sedra.bethmardutho.org/api/word/33573.json'}]",noun,,Greek,falsus
2343,3783,"{'id': 4776, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/4776.json'}",ܦܠܣܘܪܐ,"{'English': ['a press, a mangle']}",{'Greek': ['pressura']},,"[{'id': 44474, 'uri': 'https://sedra.bethmardutho.org/api/word/44474.json'}]",noun,,Greek,pressura
2344,7318,"{'id': 8415, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/8415.json'}",ܦܠܣܛܐ,"{'English': ['pl. forged', 'pl. forged', 'forged.']}",{'Greek': ['πλαστός']},,"[{'id': 44476, 'uri': 'https://sedra.bethmardutho.org/api/word/44476.json'}, {'id': 44477, 'uri': 'https://sedra.bethmardutho.org/api/word/44477.json'}, {'id': 37797, 'uri': 'https://sedra.bethmardutho.org/api/word/37797.json'}, {'id': 39506, 'uri': 'https://sedra.bethmardutho.org/api/word/39506.json'}]",noun,,Greek,πλαστός
2345,29682,"{'id': 32547, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32547.json'}",ܦܠܣܛܪܝܩܘ,{'English': ['frequenters of the palaestra']},{'Greek': ['παλαιστρικός']},,"[{'id': 58921, 'uri': 'https://sedra.bethmardutho.org/api/word/58921.json'}]",noun,,Greek,παλαιστρικός
