,Column1,lexeme,syriac,glosses,etymologies,root,words,category,kaylo,origin_lang,origin_lang_word
0,30119,"{'id': 32994, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/32994.json'}",ܐܐ,{'Latin': ['sine']},{'Greek': [None]},,"[{'id': 59368, 'uri': 'https://sedra.bethmardutho.org/api/word/59368.json'}]",noun,,Greek,None]}
1,18627,"{'id': 20207, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20207.json'}",ܐܐܕܝܣ,{'Greek': ['ἀηδής']},{'Greek': ['ἀηδής']},,"[{'id': 46581, 'uri': 'https://sedra.bethmardutho.org/api/word/46581.json'}]",noun,,Greek,ἀηδής
2,18628,"{'id': 20208, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20208.json'}",ܐܐܗܪܘܣ,{'Greek': ['ἱερός']},{'Greek': ['ἱερός']},,"[{'id': 46582, 'uri': 'https://sedra.bethmardutho.org/api/word/46582.json'}]",noun,,Greek,ἱερός
3,15241,"{'id': 16538, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/16538.json'}",ܐܐܘܕܣܐ,{'English': ['the Oasis of Egypt']},{'Greek': ['Ὄασις']},,"[{'id': 42912, 'uri': 'https://sedra.bethmardutho.org/api/word/42912.json'}]",noun,,Greek,Ὄασις
4,18629,"{'id': 20209, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20209.json'}",ܐܐܘܠܘܣ,{'Greek': ['αἰόλος']},{'Greek': ['αἰόλος']},,"[{'id': 46583, 'uri': 'https://sedra.bethmardutho.org/api/word/46583.json'}]",noun,,Greek,αἰόλος
5,18630,"{'id': 20210, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20210.json'}",ܐܐܘܠܝܣ,{'Greek': ['Αἰολίς']},{'Greek': ['Αἰολίς']},,"[{'id': 46584, 'uri': 'https://sedra.bethmardutho.org/api/word/46584.json'}, {'id': 48181, 'uri': 'https://sedra.bethmardutho.org/api/word/48181.json'}]",noun,,Greek,Αἰολίς
6,18631,"{'id': 20211, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20211.json'}",ܐܐܘܪܘܣ,{'Greek': ['ἄωρος']},{'Greek': ['ἄωρος']},,"[{'id': 46585, 'uri': 'https://sedra.bethmardutho.org/api/word/46585.json'}]",noun,,Greek,ἄωρος
7,18632,"{'id': 20212, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20212.json'}",ܐܐܘܪܛܘܣ,{'Greek': ['ἀόρατος']},{'Greek': ['ἀόρατος']},,"[{'id': 48179, 'uri': 'https://sedra.bethmardutho.org/api/word/48179.json'}, {'id': 46586, 'uri': 'https://sedra.bethmardutho.org/api/word/46586.json'}]",noun,,Greek,ἀόρατος
8,15242,"{'id': 16539, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/16539.json'}",ܐܐܘܪܛܣܛܝܩܐ,{'English': ['pachal presents']},{'Greek': ['ἑορταστικός']},,"[{'id': 42913, 'uri': 'https://sedra.bethmardutho.org/api/word/42913.json'}]",noun,,Greek,ἑορταστικός
9,18633,"{'id': 20213, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20213.json'}",ܐܐܘܪܝܐ,"{'Latin': ['immaturitas', 'intempestivitas'], 'Greek': ['ἀωρία']}",{'Greek': ['ἀωρία']},,"[{'id': 46587, 'uri': 'https://sedra.bethmardutho.org/api/word/46587.json'}, {'id': 48180, 'uri': 'https://sedra.bethmardutho.org/api/word/48180.json'}]",noun,,Greek,ἀωρία
10,18634,"{'id': 20214, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20214.json'}",ܐܐܛܘܣ,{'Greek': ['ἀετός']},{'Greek': ['ἀετός']},,"[{'id': 46588, 'uri': 'https://sedra.bethmardutho.org/api/word/46588.json'}, {'id': 48184, 'uri': 'https://sedra.bethmardutho.org/api/word/48184.json'}]",noun,,Greek,ἀετός
11,18636,"{'id': 20216, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20216.json'}",ܐܐܛܝܘܣ,{'Greek': ['Ἀέτιος']},{'Greek': ['Ἀέτιος']},,"[{'id': 48182, 'uri': 'https://sedra.bethmardutho.org/api/word/48182.json'}, {'id': 46590, 'uri': 'https://sedra.bethmardutho.org/api/word/46590.json'}]",noun,,Greek,Ἀέτιος
12,18637,"{'id': 20217, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20217.json'}",ܐܐܛܝܢܐ,{'Greek': ['Ἀετιανοί']},{'Greek': ['Ἀετιανοί']},,"[{'id': 46591, 'uri': 'https://sedra.bethmardutho.org/api/word/46591.json'}]",noun,,Greek,Ἀετιανοί
13,18635,"{'id': 20215, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20215.json'}",ܐܐܛܝܣ,{'Greek': ['αἰετόεις']},{'Greek': ['αἰετόεις']},,"[{'id': 46589, 'uri': 'https://sedra.bethmardutho.org/api/word/46589.json'}, {'id': 48183, 'uri': 'https://sedra.bethmardutho.org/api/word/48183.json'}]",adjective,,Greek,αἰετόεις
15,18639,"{'id': 20219, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20219.json'}",ܐܐܝ,{'Greek': ['ἀεί']},{'Greek': ['ἀεί']},,"[{'id': 46593, 'uri': 'https://sedra.bethmardutho.org/api/word/46593.json'}]",adverb,,Greek,ἀεί
16,18640,"{'id': 20226, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20226.json'}",ܐܐܝܕܘܢ,{'Greek': ['ὁ ἰδών']},"{'Greek': ['ὁ ἰδών', 'ὁρῶ']}",,"[{'id': 46600, 'uri': 'https://sedra.bethmardutho.org/api/word/46600.json'}]",particle,,Greek,"ὁ ἰδών, ὁρῶ"
18,18641,"{'id': 20227, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20227.json'}",ܐܐܝܕܝܣ,{'Latin': ['ἀειδής']},{'Greek': ['ἀειδής']},,"[{'id': 46601, 'uri': 'https://sedra.bethmardutho.org/api/word/46601.json'}]",adjective,,Greek,ἀειδής
19,18642,"{'id': 20228, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20228.json'}",ܐܐܝܘܣ,[],{'Greek': ['ἅγιος']},,"[{'id': 46602, 'uri': 'https://sedra.bethmardutho.org/api/word/46602.json'}, {'id': 48189, 'uri': 'https://sedra.bethmardutho.org/api/word/48189.json'}]",adjective,,Greek,ἅγιος
20,18643,"{'id': 20229, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20229.json'}",ܐܐܝܙܘܐܘܢ,{'Greek': ['ἀείζωον']},{'Greek': ['ἀείζωον']},,"[{'id': 46603, 'uri': 'https://sedra.bethmardutho.org/api/word/46603.json'}, {'id': 48185, 'uri': 'https://sedra.bethmardutho.org/api/word/48185.json'}]",noun,,Greek,ἀείζωον
21,17529,"{'id': 18999, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/18999.json'}",ܐܐܝܛܝܘܣ,{'English': ['Aetius: an archdeacon of Constantinople']},{'Greek': ['Ἀέτιος']},,"[{'id': 45373, 'uri': 'https://sedra.bethmardutho.org/api/word/45373.json'}]",noun,,Greek,Ἀέτιος
22,18644,"{'id': 20230, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20230.json'}",ܐܐܝܪ,{'Greek': ['ἀήρ']},{'Greek': ['ἀήρ']},,"[{'id': 46604, 'uri': 'https://sedra.bethmardutho.org/api/word/46604.json'}]",noun,,Greek,ἀήρ
23,18650,"{'id': 20236, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20236.json'}",ܐܐܝܪܐ,"{'English': ['hammer'], 'Latin': ['folium temulentum'], 'Greek': ['αἶρα']}",{'Greek': ['αἶρα']},,"[{'id': 46610, 'uri': 'https://sedra.bethmardutho.org/api/word/46610.json'}, {'id': 48193, 'uri': 'https://sedra.bethmardutho.org/api/word/48193.json'}]",noun,,Greek,αἶρα
24,18651,"{'id': 20237, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20237.json'}",ܐܐܣ,"{'English': ['Ajax'], 'Latin': ['Ajax'], 'Greek': ['Αἴας']}",{'Greek': ['Αἴας']},,"[{'id': 46611, 'uri': 'https://sedra.bethmardutho.org/api/word/46611.json'}]",noun,,Greek,Αἴας
25,0,"{'id': 1, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/1.json'}",ܐܐܪ,"{'Arabic': ['هواء', 'هيئة'], 'French': ['air', 'aspect'], 'English': ['air', 'air\u200f.']}",{'Greek': ['ἀήρ']},"{'id': 1, 'uri': 'https://sedra.bethmardutho.org/api/root/1.json'}","[{'id': 1, 'uri': 'https://sedra.bethmardutho.org/api/word/1.json'}, {'id': 42245, 'uri': 'https://sedra.bethmardutho.org/api/word/42245.json'}, {'id': 2, 'uri': 'https://sedra.bethmardutho.org/api/word/2.json'}, {'id': 3, 'uri': 'https://sedra.bethmardutho.org/api/word/3.json'}, {'id': 4, 'uri': 'https://sedra.bethmardutho.org/api/word/4.json'}, {'id': 5, 'uri': 'https://sedra.bethmardutho.org/api/word/5.json'}]",noun,,Greek,ἀήρ
26,18652,"{'id': 20238, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20238.json'}",ܐܐܪܐ,"{'English': ['misty'], 'Latin': ['aerius'], 'Greek': ['ἀέριος']}",{'Greek': ['ἀέριος']},,"[{'id': 46612, 'uri': 'https://sedra.bethmardutho.org/api/word/46612.json'}]",adjective,,Greek,ἀέριος
27,18653,"{'id': 20239, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20239.json'}",ܐܐܪܐܝܐ,"{'English': ['misty'], 'Latin': ['aerius'], 'Greek': ['ἀέριος']}",{'Greek': ['ἀέριος']},,"[{'id': 46613, 'uri': 'https://sedra.bethmardutho.org/api/word/46613.json'}]",adjective,,Greek,ἀέριος
28,30240,"{'id': 33119, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/33119.json'}",ܐܐܪܐܣܝܣ,{'English': ['gift']},{'Greek': ['αἵρεσις']},,"[{'id': 59493, 'uri': 'https://sedra.bethmardutho.org/api/word/59493.json'}]",noun,,Greek,αἵρεσις
29,18654,"{'id': 20240, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20240.json'}",ܐܐܪܓܘܣ,"{'English': ['idle'], 'Latin': ['otiosus, iners'], 'Greek': ['ἀεργός']}",{'Greek': ['ἀεργός']},,"[{'id': 46614, 'uri': 'https://sedra.bethmardutho.org/api/word/46614.json'}]",adjective,,Greek,ἀεργός
30,18655,"{'id': 20241, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20241.json'}",ܐܐܪܘܢ,"{'Latin': ['arum'], 'Greek': ['ἄρον']}",{'Greek': ['ἄρον']},,"[{'id': 46615, 'uri': 'https://sedra.bethmardutho.org/api/word/46615.json'}]",noun,,Greek,ἄρον
31,18656,"{'id': 20242, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20242.json'}",ܐܐܪܛܘ,"{'Latin': ['suspensus est'], 'Greek': ['ἄορτο']}",{'Greek': ['ἀείλω']},,"[{'id': 46616, 'uri': 'https://sedra.bethmardutho.org/api/word/46616.json'}]",verb,,Greek,ἀείλω
32,18657,"{'id': 20243, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20243.json'}",ܐܐܪܛܘܣ,"{'English': ['unseen, invisible'], 'Latin': ['invisibilis'], 'Greek': ['ἀόρατος']}",{'Greek': ['ἀόρατος']},,"[{'id': 46617, 'uri': 'https://sedra.bethmardutho.org/api/word/46617.json'}, {'id': 48195, 'uri': 'https://sedra.bethmardutho.org/api/word/48195.json'}]",adjective,,Greek,ἀόρατος
33,18658,"{'id': 20244, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20244.json'}",ܐܐܪܝܐ,"{'Latin': ['tenebrae, obscuritas'], 'Greek': ['ἀωρία']}",{'Greek': ['ἀωρία']},,"[{'id': 46618, 'uri': 'https://sedra.bethmardutho.org/api/word/46618.json'}]",noun,,Greek,ἀωρία
34,18659,"{'id': 20245, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20245.json'}",ܐܒܐܝܐ,"{'English': ['Euboea'], 'Greek': ['Εὔβοια']}",{'Greek': ['Εὔβοια']},,"[{'id': 46619, 'uri': 'https://sedra.bethmardutho.org/api/word/46619.json'}]",noun,,Greek,Εὔβοια
35,18660,"{'id': 20246, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20246.json'}",ܐܒܐܠܘܣ,"{'English': ['spit'], 'Latin': ['obeliscus'], 'Greek': ['ὀβελός']}",{'Greek': ['ὀβελός']},,"[{'id': 46620, 'uri': 'https://sedra.bethmardutho.org/api/word/46620.json'}]",noun,,Greek,ὀβελός
36,18661,"{'id': 20247, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20247.json'}",ܐܒܐܠܛܪܘܣ,"{'English': ['silly, stupid'], 'Latin': ['stultus, stolidus'], 'Greek': ['ἀβέλτερος']}",{'Greek': ['ἀβέλτερος']},,"[{'id': 46621, 'uri': 'https://sedra.bethmardutho.org/api/word/46621.json'}, {'id': 48201, 'uri': 'https://sedra.bethmardutho.org/api/word/48201.json'}]",adjective,,Greek,ἀβέλτερος
37,18662,"{'id': 20248, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20248.json'}",ܐܒܐܢܘܣ,"{'English': ['ebony'], 'Latin': ['ebenus'], 'Greek': ['ἔβενος']}",{'Greek': ['ἔβενος']},,"[{'id': 46622, 'uri': 'https://sedra.bethmardutho.org/api/word/46622.json'}]",noun,,Greek,ἔβενος
38,18663,"{'id': 20249, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20249.json'}",ܐܒܕܘܟܘܣ,"{'Latin': ['Eudoxus'], 'Greek': ['Εὔδοξος']}",{'Greek': ['εὔδοξος']},,"[{'id': 46623, 'uri': 'https://sedra.bethmardutho.org/api/word/46623.json'}]",noun,,Greek,εὔδοξος
39,18664,"{'id': 20250, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20250.json'}",ܐܒܕܘܡܐ,"{'English': ['Indictio'], 'Greek': ['ἑβδόμη']}",{'Greek': ['ἕβδομος']},,"[{'id': 46624, 'uri': 'https://sedra.bethmardutho.org/api/word/46624.json'}]",numeral,,Greek,ἕβδομος
40,18665,"{'id': 20251, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20251.json'}",ܐܒܕܘܡܕܐ,"{'English': ['week, period of seven days'], 'Greek': ['ἑβδομάδα']}",{'Greek': ['ἑβδομάς']},,"[{'id': 46625, 'uri': 'https://sedra.bethmardutho.org/api/word/46625.json'}, {'id': 48209, 'uri': 'https://sedra.bethmardutho.org/api/word/48209.json'}]",noun,,Greek,ἑβδομάς
41,18666,"{'id': 20252, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20252.json'}",ܐܒܕܘܡܢܛܐ,"{'English': ['seventy'], 'Greek': ['ἑβδόμηντα']}",{'Greek': ['ἑβδομήκοντα']},,"[{'id': 46626, 'uri': 'https://sedra.bethmardutho.org/api/word/46626.json'}, {'id': 48211, 'uri': 'https://sedra.bethmardutho.org/api/word/48211.json'}]",numeral,,Greek,ἑβδομήκοντα
42,18668,"{'id': 20254, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20254.json'}",ܐܒܕܡܘܢ,"{'Latin': ['Hebdomum'], 'Greek': ['τὸ ἕβδομον']}",{'Greek': ['ἕβδομος']},,"[{'id': 46628, 'uri': 'https://sedra.bethmardutho.org/api/word/46628.json'}]",numeral,,Greek,ἕβδομος
43,18669,"{'id': 20255, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20255.json'}",ܐܒܘܐܐ,"{'Latin': ['Euboea'], 'Greek': ['Εὔβοια']}",{'Greek': ['Εὔβοια']},,"[{'id': 46629, 'uri': 'https://sedra.bethmardutho.org/api/word/46629.json'}]",noun,,Greek,Εὔβοια
44,17549,"{'id': 19019, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/19019.json'}",ܐܒܘܛܓܪܐ,"{'Greek': ['ἡ ποδάγρα'], 'English': ['gout']}",{'Greek': ['ποδάγρα']},,"[{'id': 45393, 'uri': 'https://sedra.bethmardutho.org/api/word/45393.json'}]",noun,,Greek,ποδάγρα
45,18670,"{'id': 20256, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20256.json'}",ܐܒܘܟܠܒܣܝܣ,"{'English': ['revelation'], 'Latin': ['apocalypsis, revelatio'], 'Greek': ['ἀποκάλυψις']}",{'Greek': ['ἀποκάλυψις']},,"[{'id': 46630, 'uri': 'https://sedra.bethmardutho.org/api/word/46630.json'}]",noun,,Greek,ἀποκάλυψις
46,18671,"{'id': 20257, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20257.json'}",ܐܒܘܠܘܢ,"{'Latin': ['obolus'], 'Greek': ['ὀβολόν']}",{'Greek': ['ὀβολός']},,"[{'id': 46631, 'uri': 'https://sedra.bethmardutho.org/api/word/46631.json'}]",noun,,Greek,ὀβολός
47,20030,"{'id': 21844, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/21844.json'}",ܐܒܘܠܘܣ,{'Greek': ['ὀβολός']},{'Greek': ['ὀβολός']},,"[{'id': 46632, 'uri': 'https://sedra.bethmardutho.org/api/word/46632.json'}, {'id': 48218, 'uri': 'https://sedra.bethmardutho.org/api/word/48218.json'}]",noun,,Greek,ὀβολός
48,17553,"{'id': 19023, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/19023.json'}",ܐܒܘܪܕ,"{'Greek': ['Ἀπαυαρκτικηνή'], 'English': ['a district and town north of Khorasan on the border of Russia']}",{'Greek': ['Ἀπαυαρκτικηνή']},,"[{'id': 45397, 'uri': 'https://sedra.bethmardutho.org/api/word/45397.json'}]",noun,,Greek,Ἀπαυαρκτικηνή
49,18672,"{'id': 20259, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20259.json'}",ܐܒܛܘܣ,"{'Latin': ['invius'], 'Greek': ['ἄβατος']}",{'Greek': ['ἄβατος']},,"[{'id': 46633, 'uri': 'https://sedra.bethmardutho.org/api/word/46633.json'}]",adjective,,Greek,ἄβατος
50,19272,"{'id': 20958, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20958.json'}",ܐܒܝܘܣܕܘܛܘ,"{'English': ['his life'], 'Greek': ['ὁ βίος αὐτοῦ']}",{'Greek': ['βίος']},,"[{'id': 47332, 'uri': 'https://sedra.bethmardutho.org/api/word/47332.json'}]",noun,,Greek,βίος
51,19273,"{'id': 20959, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20959.json'}",ܐܒܝܘܣܝܡܘܢ,"{'English': ['our life'], 'Greek': ['ὁ βίος ἡμῶν']}",{'Greek': ['βίος']},,"[{'id': 47333, 'uri': 'https://sedra.bethmardutho.org/api/word/47333.json'}]",noun,,Greek,βίος
52,18674,"{'id': 20261, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20261.json'}",ܐܒܝܣܘܣ,"{'Latin': ['abyssus'], 'Greek': ['ἄβυσσος']}",{'Greek': ['ἄβυσσος']},,"[{'id': 46635, 'uri': 'https://sedra.bethmardutho.org/api/word/46635.json'}]",noun,,Greek,ἄβυσσος
53,18675,"{'id': 20262, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20262.json'}",ܐܒܝܣܛܛܐ,{'Greek': ['ἐπιστάτα']},{'Greek': ['ἐπιστάτης']},,"[{'id': 48247, 'uri': 'https://sedra.bethmardutho.org/api/word/48247.json'}, {'id': 46636, 'uri': 'https://sedra.bethmardutho.org/api/word/46636.json'}]",noun,,Greek,ἐπιστάτης
54,18676,"{'id': 20263, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20263.json'}",ܐܒܝܣܩܘܣ,"{'Latin': ['hibiscus'], 'Greek': ['ἐβίσκος']}",{'Greek': ['ἐβίσκος']},,"[{'id': 46637, 'uri': 'https://sedra.bethmardutho.org/api/word/46637.json'}]",noun,,Greek,ἐβίσκος
55,17570,"{'id': 19040, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/19040.json'}",ܐܒܠܘܓܝ,"{'Greek': ['ἀπολογία'], 'English': ['name of a book by Severus']}",{'Greek': ['ἀπολογία']},,"[{'id': 45414, 'uri': 'https://sedra.bethmardutho.org/api/word/45414.json'}]",noun,,Greek,ἀπολογία
56,19274,"{'id': 20960, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20960.json'}",ܐܒܠܘܣ,{'Greek': ['ὀβελός']},{'Greek': ['ὀβελός']},,"[{'id': 47334, 'uri': 'https://sedra.bethmardutho.org/api/word/47334.json'}]",noun,,Greek,ὀβελός
57,15140,"{'id': 16429, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/16429.json'}",ܐܒܠܝܐ,"{'English': ['citadel, court, hall'], 'Latin': ['aula, atrium']}",{'Greek': ['αὐλεία']},,"[{'id': 42803, 'uri': 'https://sedra.bethmardutho.org/api/word/42803.json'}]",noun,,Greek,αὐλεία
59,18678,"{'id': 20265, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20265.json'}",ܐܒܠܝܣܩܘܣ,"{'Latin': ['obeliscus'], 'Greek': ['ὀβελίσκος']}",{'Greek': ['ὀβελίσκος']},,"[{'id': 46639, 'uri': 'https://sedra.bethmardutho.org/api/word/46639.json'}]",noun,,Greek,ὀβελίσκος
60,15141,"{'id': 16430, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/16430.json'}",ܐܒܢܘܣ,"{'English': ['ebenum', 'Ebony'], 'Greek': ['ἔβενος'], 'Arabic': ['أبنوس']}","{'Greek': ['ἔβενος deom Egypt. hbny', 'ἔβενος']}",,"[{'id': 46640, 'uri': 'https://sedra.bethmardutho.org/api/word/46640.json'}, {'id': 42804, 'uri': 'https://sedra.bethmardutho.org/api/word/42804.json'}]",noun,,Greek,"ἔβενος deom Egypt. hbny, ἔβενος"
61,18679,"{'id': 20267, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20267.json'}",ܐܒܪܘܙܘܢ,"{'Latin': ['aurum purissimum'], 'Greek': ['ὄβρυζον']}",{'Greek': ['ὄβρυζος']},,"[{'id': 46641, 'uri': 'https://sedra.bethmardutho.org/api/word/46641.json'}, {'id': 48289, 'uri': 'https://sedra.bethmardutho.org/api/word/48289.json'}]",adjective,,Greek,ὄβρυζος
62,17584,"{'id': 19054, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/19054.json'}",ܐܒܪܘܙܘܣܝܣ,"{'Greek': ['ὀβρύζωσις'], 'English': ['the testing of gold']}",{'Greek': ['ὄβρυζος']},,"[{'id': 45428, 'uri': 'https://sedra.bethmardutho.org/api/word/45428.json'}]",noun,,Greek,ὄβρυζος
63,15143,"{'id': 16432, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/16432.json'}",ܐܒܪܘܛܘܢܘܢ,"{'Latin': ['abrotonum', 'Artemisia arborescens'], 'Greek': ['ἀβρότονον, ἀβρότονος'], 'English': ['wormwood']}","{'Greek': ['ἀβρότονον'], 'Latin': ['abrotonum']}",,"[{'id': 47335, 'uri': 'https://sedra.bethmardutho.org/api/word/47335.json'}, {'id': 42806, 'uri': 'https://sedra.bethmardutho.org/api/word/42806.json'}, {'id': 48288, 'uri': 'https://sedra.bethmardutho.org/api/word/48288.json'}]",noun,,Greek,"ἀβρότονον], Latin"
64,19276,"{'id': 20963, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20963.json'}",ܐܒܪܘܣܝܘܣ,"{'Greek': [""'Αμβρόσιος""]}",{'Greek': ['ἀμβρόσιος']},,"[{'id': 47337, 'uri': 'https://sedra.bethmardutho.org/api/word/47337.json'}]",noun,,Greek,ἀμβρόσιος
65,15142,"{'id': 16431, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/16431.json'}",ܐܒܪܙܘܢ,"{'Greek': ['ὄβρυζον'], 'English': ['cupellation', 'purest gold'], 'Arabic': ['ابريز']}","{'Greek': ['ὄβρυζον from Hitt. ḫubrušḫi', 'ὄβρυζα']}",,"[{'id': 47143, 'uri': 'https://sedra.bethmardutho.org/api/word/47143.json'}, {'id': 42805, 'uri': 'https://sedra.bethmardutho.org/api/word/42805.json'}]",adjective,,Greek,"ὄβρυζον from Hitt. ḫubrušḫi, ὄβρυζα"
66,17540,"{'id': 19010, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/19010.json'}",ܐܒܪܝܡܩܘܢܛܐ,"{'Greek': ['ἑβδομήκοντα'], 'English': ['seventy']}",{'Greek': ['ἑβδομήκοντα']},,"[{'id': 45384, 'uri': 'https://sedra.bethmardutho.org/api/word/45384.json'}]",numeral,,Greek,ἑβδομήκοντα
67,19277,"{'id': 20964, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20964.json'}",ܐܒܪܝܡܩܘܢܝܛܐ,"{'Latin': ['septuaginta'], 'Greek': ['ἑβδομήκοντα']}",{'Greek': ['ἑβδομήκοντα']},,"[{'id': 47338, 'uri': 'https://sedra.bethmardutho.org/api/word/47338.json'}]",numeral,,Greek,ἑβδομήκοντα
68,18683,"{'id': 20271, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20271.json'}",ܐܓܐܐ,"{'Latin': ['terra'], 'Greek': ['γέα, γῆ']}",{'Greek': ['γῆ']},,"[{'id': 46645, 'uri': 'https://sedra.bethmardutho.org/api/word/46645.json'}, {'id': 48303, 'uri': 'https://sedra.bethmardutho.org/api/word/48303.json'}]",noun,,Greek,γῆ
69,19154,"{'id': 20800, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20800.json'}",ܐܓܐܠܠܝܐܣܐܘܡܗ,"{'Greek': ['ἀγαλλιἀσομαι', 'ἀγαλλιάσομαι']}","{'Greek': ['ἀγαλλιάω', 'ἀγαλλιάω']}",,"[{'id': 46650, 'uri': 'https://sedra.bethmardutho.org/api/word/46650.json'}, {'id': 47174, 'uri': 'https://sedra.bethmardutho.org/api/word/47174.json'}, {'id': 48305, 'uri': 'https://sedra.bethmardutho.org/api/word/48305.json'}]",verb,,Greek,"ἀγαλλιάω, ἀγαλλιάω"
70,18690,"{'id': 20279, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20279.json'}",ܐܓܐܡܘܢܘܢ,"{'Latin': ['Agamemnon'], 'Greek': ['Ἀγαμέμνων']}",{'Greek': ['Ἀγαμέμνων']},,"[{'id': 46653, 'uri': 'https://sedra.bethmardutho.org/api/word/46653.json'}]",noun,,Greek,Ἀγαμέμνων
71,18692,"{'id': 20281, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20281.json'}",ܐܓܐܣ,"{'Latin': ['Aegae'], 'Greek': ['Αἰγάς']}",{'Greek': ['Αἰγαί']},,"[{'id': 46655, 'uri': 'https://sedra.bethmardutho.org/api/word/46655.json'}]",noun,,Greek,Αἰγαί
73,17440,"{'id': 18904, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/18904.json'}",ܐܓܐܦܝ,"{'Latin': ['amor'], 'Greek': ['ἀγάπη'], 'English': ['love']}",{'Greek': ['ἀγάπη']},,"[{'id': 46657, 'uri': 'https://sedra.bethmardutho.org/api/word/46657.json'}, {'id': 45278, 'uri': 'https://sedra.bethmardutho.org/api/word/45278.json'}]",noun,,Greek,ἀγάπη
74,18696,"{'id': 20286, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/20286.json'}",ܐܓܐܪܘܝܘܣ,"{'Latin': ['superbus'], 'Greek': ['ἀγέρωχος']}",{'Greek': ['ἀγέρωχος']},,"[{'id': 46660, 'uri': 'https://sedra.bethmardutho.org/api/word/46660.json'}]",adjective,,Greek,ἀγέρωχος
